OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
42619,Polk St&Lombard St NW-NS/BZ,POLKLOM0,POLKLOMB,5990,37.80167,-122.42303,0,LOMBARD ST,POLK ST,NS,NW,BZ,0,20230512124615,14816781,141,None,POINT (-122.42303 37.80167),107,107,4,6,32
40917,Chestnut St&Fillmore St NE-NS/BZ,CHESFIL0,CHESFILL,3941,37.800845,-122.436245,0,WEBSTER ST,CHESTNUT ST,NS,NE,BZ,1,20230512124615,14809056,141,None,POINT (-122.43625 37.800846),17,17,4,6,13
41525,Geary Blvd&Arguello Blvd NE-NS/BZ,GEARARG0,GEARARGL,4287,37.781376,-122.458737,0,ARGUELLO BLVD,GEARY BLVD,NS,NE,BZ,1,20230512124615,14810393,141,None,POINT (-122.45874 37.781376),11,11,8,6,31
40679,3rd St&Folsom St N-FS/BZ,.3STFOL0,3STFOLS,3124,37.784204,-122.399326,0,CLEMENTINA ST,03RD ST,FS,NO,BZ,1,20230512124615,14808200,141,None,POINT (-122.39932 37.784203),32,32,1,10,8
43044,Potrero Ave&24th St SW-FS/BZ,POTR24S0,POTR24ST,6039,37.75267,-122.40649,0,24TH ST,POTRERO AVE,FS,SW,BZ,0,20230512124615,14815720,141,None,POINT (-122.40649 37.75267),53,53,3,2,20
43002,UCSF Medical Center (Mariposa) OB NE-FS/SI,3ST MRP0,3ST MRP0,7356,37.764391,-122.388853,0,MARIPOSA ST,3RD ST,FS,NE,SI,0,20230512124615,14818712,141,None,POINT (-122.388855 37.764393),34,34,2,10,26
41658,Leavenworth St&Pine St SE-NS/BB,LEAVPIN1,LEAVPINE,4868,37.790159,-122.415479,0,PINE ST,LEAVENWORTH ST,NS,SE,BZ,0,20230512124615,14810868,141,None,POINT (-122.41548 37.790157),50,50,6,3,21
41688,Mansell St&San Bruno Ave W-FS/BZ,MANSSBR1,MANSSBRO,5350,37.721541,-122.401394,0,SAN BRUNO AVE,MANSELL ST,FS,WE,BZ,0,20230512124615,14811281,141,None,POINT (-122.4014 37.721542),91,91,2,9,25
41451,Eddy St&Buchanan St SW-NS/BZ,EDDYBUC1,EDDYBUCH,4473,37.781767,-122.429141,0,BUCHANAN ST,EDDY ST,NS,SW,BZ,0,20230512124615,14810620,141,None,POINT (-122.42914 37.78177),97,97,4,11,39
42712,345 Warren Dr E-MB/SB,WARNH341,WARNH345,6908,37.755402,-122.461312,0,None,WARREN DR,MB,EA,None,0,20230512124615,14816846,141,None,POINT (-122.46131 37.7554),111,111,7,8,14
42334,Sutter St&Baker St NE-NS/BZ,SUTTBAK0,SUTTBAKR,6585,37.784889,-122.443067,0,BAKER ST,SUTTER ST,NS,NE,BZ,1,20230512124615,14814995,141,None,POINT (-122.44307 37.78489),103,103,8,6,30
41915,Laguna Honda Blvd&Idora Ave E-NS/SB,LGHNIDO1,LGHNIDOR,5249,37.743999,-122.456407,0,IDORA AVE,LAGUNA HONDA BLVD,NS,EA,None,0,20230512124615,14812011,141,None,POINT (-122.456406 37.744),49,49,7,8,41
43353,John Muir Dr&Skyline Blvd S-FS/SB,J M SKY0,J M SKYL,5132,37.718738,-122.499913,0,SKYLINE BLVD,JOHN MUIR DR,FS,SO,None,0,20230512124615,14814393,141,None,POINT (-122.499916 37.71874),43,43,10,8,16
