fare_id,route_id,origin_id,destination_id,contains_id
1,49,,,
1,18144,,,
1,18190,,,
1,55,,,
1,45,,,
1,18183,,,
1,29,,,
1,18163,,,
1,18173,,,
1,18218,,,
1,TBUS,,,
1,8,,,
1,18147,,,
1,N-OWL,,,
1,18214,,,
1,18230,,,
1,8AX,,,
1,14R,,,
1,38,,,
1,22,,,
1,14,,,
1,91,,,
1,18153,,,
1,1,,,
1,18195,,,
1,18194,,,
1,18,,,
1,18170,,,
1,18608,,,
1,18221,,,
1,18158,,,
1,66,,,
1,KBUS,,,
1,27,,,
1,2,,,
1,18223,,,
1,18204,,,
1,M,,,
1,43,,,
1,18149,,,
1,18139,,,
1,18179,,,
1,18216,,,
1,24,,,
1,5R,,,
1,8BX,,,
1,48,,,
1,18151,,,
1,7,,,
1,52,,,
1,18172,,,
1,18188,,,
1,F,,,
1,18136,,,
1,18156,,,
1,18215,,,
1,31,,,
1,18205,,,
1,18168,,,
1,39,,,
1,15,,,
1,21,,,
1,18152,,,
1,19,,,
1,18187,,,
1,18177,,,
1,18143,,,
1,18210,,,
1,58,,,
1,18137,,,
1,18157,,,
1,5,,,
1,18222,,,
1,54,,,
1,30,,,
1,18213,,,
1,18162,,,
1,9,,,
1,18154,,,
1,NBUS,,,
1,18138,,,
1,57,,,
1,37,,,
1,18186,,,
1,18203,,,
1,LBUS,,,
1,18134,,,
1,23,,,
1,90,,,
1,18142,,,
1,33,,,
1,6,,,
1,18181,,,
1,18171,,,
1,18189,,,
1,J,,,
1,18208,,,
1,18145,,,
1,9R,,,
1,L-OWL,,,
1,18159,,,
1,18185,,,
1,67,,,
1,44,,,
1,28,,,
1,12,,,
1,18141,,,
1,18131,,,
1,18155,,,
1,38R,,,
1,KT,,,
1,56,,,
1,36,,,
1,18176,,,
1,18758,,,
1,18160,,,
1,18148,,,
1,714,,,
1,35,,,
1,18180,,,
1,N,,,
1,25,,,
2,18193,,,
2,18191,,,
2,PM,,,
2,18192,,,
2,PH,,,
2,C,,,
