service_id,date,exception_type
92610,20230508,1
12010,20230508,1
85510,20230508,1
96910,20230508,1
92610,20230509,1
12010,20230509,1
85510,20230509,1
96910,20230509,1
92610,20230510,1
12010,20230510,1
85510,20230510,1
96910,20230510,1
92610,20230511,1
12010,20230511,1
85510,20230511,1
96910,20230511,1
92610,20230512,1
12010,20230512,1
85510,20230512,1
96910,20230512,1
92610,20230515,1
12010,20230515,1
85510,20230515,1
96910,20230515,1
92610,20230516,1
12010,20230516,1
85510,20230516,1
96910,20230516,1
92610,20230517,1
12010,20230517,1
85510,20230517,1
96910,20230517,1
92610,20230518,1
12010,20230518,1
85510,20230518,1
96910,20230518,1
92610,20230519,1
12010,20230519,1
85510,20230519,1
96910,20230519,1
92610,20230522,1
12010,20230522,1
85510,20230522,1
96910,20230522,1
92610,20230523,1
12010,20230523,1
85510,20230523,1
96910,20230523,1
92610,20230524,1
12010,20230524,1
85510,20230524,1
96910,20230524,1
92610,20230525,1
12010,20230525,1
85510,20230525,1
96910,20230525,1
92610,20230526,1
12010,20230526,1
85510,20230526,1
96910,20230526,1
2,20230529,1
10,20230529,2
92610,20230530,1
12010,20230530,1
85510,20230530,1
96910,20230530,1
92610,20230531,1
12010,20230531,1
85510,20230531,1
96910,20230531,1
92610,20230601,1
12010,20230601,1
85510,20230601,1
96910,20230601,1
92610,20230602,1
12010,20230602,1
85510,20230602,1
96910,20230602,1
92610,20230605,1
12010,20230605,1
85510,20230605,1
96910,20230605,1
92610,20230606,1
12010,20230606,1
85510,20230606,1
96910,20230606,1
92610,20230607,1
12010,20230607,1
85510,20230607,1
96910,20230607,1
85510,20230608,1
96910,20230608,1
85510,20230609,1
96910,20230609,1
96910,20230612,1
2,20230704,1
10,20230704,2
