route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
OWL JUDAH,3,FFFFFF,666666,SFMTA,N-OWL,https://SFMTA.com/N-OWL,12 midnight-5am nightly,N-OWL
FULTON RAPID,3,FFFFFF,BF2B45,SFMTA,5R,https://SFMTA.com/5R,Weekdays 7am-7pm,5R
TREASURE ISLAND,3,FFFFFF,005B95,SFMTA,18158,https://SFMTA.com/25,,25
BRYANT,3,FFFFFF,005B95,SFMTA,18159,https://SFMTA.com/27,,27
46TH AVENUE,3,FFFFFF,005B95,SFMTA,18152,https://SFMTA.com/18,,18
POLK,3,FFFFFF,005B95,SFMTA,18153,https://SFMTA.com/19,,19
BAYVIEW HUNTERS POINT EXPRESS,3,FFFFFF,005B95,SFMTA,18151,https://SFMTA.com/15,,15
MONTEREY,3,FFFFFF,005B95,SFMTA,18156,https://SFMTA.com/23,,23
DIVISADERO,3,FFFFFF,005B95,SFMTA,18157,https://SFMTA.com/24,,24
HAYES,3,FFFFFF,005B95,SFMTA,18154,https://SFMTA.com/21,,21
FILLMORE,3,FFFFFF,005B95,SFMTA,18155,https://SFMTA.com/22,,22
DIVISADERO,3,FFFFFF,005B95,SFMTA,24,https://SFMTA.com/24,5am-12:30am daily (Between Sutter St. and Bayshore Bl. 24 hours daily),24
TREASURE ISLAND,3,FFFFFF,005B95,SFMTA,25,https://SFMTA.com/25,24 hour service daily,25
BRYANT,3,FFFFFF,005B95,SFMTA,27,https://SFMTA.com/27,5am-10pm daily,27
HAYES,3,FFFFFF,005B95,SFMTA,21,https://SFMTA.com/21,5am-10pm daily,21
FILLMORE,3,FFFFFF,005B95,SFMTA,22,https://SFMTA.com/22,24 hour service daily,22
MONTEREY,3,FFFFFF,005B95,SFMTA,23,https://SFMTA.com/23,6am-10pm daily,23
19TH AVENUE,3,FFFFFF,005B95,SFMTA,28,https://SFMTA.com/28,5am-12 midnight daily,28
SUNSET,3,FFFFFF,005B95,SFMTA,29,https://SFMTA.com/29,5am-12 midnight daily,29
OWL TARAVAL,3,FFFFFF,666666,SFMTA,L-OWL,https://SFMTA.com/L-OWL,10pm-5am nightly,L-OWL
JUDAH,0,FFFFFF,005B95,SFMTA,18221,https://SFMTA.com/N,,N
OWL JUDAH,3,FFFFFF,666666,SFMTA,18222,https://SFMTA.com/N-OWL,,N-OWL
JUDAH BUS,3,FFFFFF,005B95,SFMTA,18223,https://SFMTA.com/NBUS,,NBUS
BAYSHORE,3,FFFFFF,005B95,SFMTA,8,https://SFMTA.com/8,5am-12 midnight daily,8
TARAVAL BUS,3,FFFFFF,942D83,SFMTA,18216,https://SFMTA.com/LBUS,,LBUS
STOCKTON,3,FFFFFF,005B95,SFMTA,18163,https://SFMTA.com/30,,30
SUNSET,3,FFFFFF,005B95,SFMTA,18162,https://SFMTA.com/29,,29
19TH AVENUE,3,FFFFFF,005B95,SFMTA,18160,https://SFMTA.com/28,,28
BART EARLY BIRD,3,FFFFFF,005B95,SFMTA,714,https://SFMTA.com/714,Weekdays 4am-5am,714
ASHBURY-18TH ST,3,FFFFFF,005B95,SFMTA,18168,https://SFMTA.com/33,,33
FOLSOM-PACIFIC,3,FFFFFF,005B95,SFMTA,12,https://SFMTA.com/12,6am-10pm daily,12
INGLESIDE BUS,3,FFFFFF,437C93,SFMTA,18213,https://SFMTA.com/KBUS,,KBUS
MISSION,3,FFFFFF,005B95,SFMTA,14,https://SFMTA.com/14,24 hour service daily,14
TARAVAL BUS,3,FFFFFF,942D83,SFMTA,LBUS,https://SFMTA.com/LBUS,5am-10 pm daily,LBUS
LAKE MERCED,3,FFFFFF,005B95,SFMTA,58,https://SFMTA.com/58,Weekdays 5am-10pm Weekends 6am-10pm,58
DOGPATCH,3,FFFFFF,005B95,SFMTA,55,https://SFMTA.com/55,5am-10pm daily,55
FELTON,3,FFFFFF,005B95,SFMTA,54,https://SFMTA.com/54,5am-10pm daily,54
PARKMERCED,3,FFFFFF,005B95,SFMTA,57,https://SFMTA.com/57,5am-10pm daily,57
RUTLAND,3,FFFFFF,005B95,SFMTA,56,https://SFMTA.com/56,7am-9pm daily,56
EXCELSIOR,3,FFFFFF,005B95,SFMTA,52,https://SFMTA.com/52,Weekdays 6am-10pm Weekends 8am-10pm,52
EUREKA,3,FFFFFF,005B95,SFMTA,18170,https://SFMTA.com/35,,35
TERESITA,3,FFFFFF,005B95,SFMTA,18171,https://SFMTA.com/36,,36
CORBETT,3,FFFFFF,005B95,SFMTA,18172,https://SFMTA.com/37,,37
GEARY,3,FFFFFF,005B95,SFMTA,18173,https://SFMTA.com/38,,38
GEARY RAPID,3,FFFFFF,BF2B45,SFMTA,18176,https://SFMTA.com/38R,,38R
COIT,3,FFFFFF,005B95,SFMTA,18177,https://SFMTA.com/39,,39
MASONIC,3,FFFFFF,005B95,SFMTA,18179,https://SFMTA.com/43,,43
JUDAH BUS,3,FFFFFF,005B95,SFMTA,NBUS,https://SFMTA.com/NBUS,Weekdays 5am-6am Weekends 5am-8am,NBUS
BAYSHORE A EXPRESS,3,FFFFFF,005B95,SFMTA,8AX,https://SFMTA.com/8AX,Weekdays 6:30-9:30am (northbound) 3:30-6:50pm (southbound),8AX
GEARY RAPID,3,FFFFFF,BF2B45,SFMTA,38R,https://SFMTA.com/38R,Weekdays 5am-10pm Weekends 6am-9pm,38R
HAIGHT-NORIEGA,3,FFFFFF,005B95,SFMTA,7,https://SFMTA.com/7,5am-10pm daily,7
POWELL-HYDE CABLE CAR,5,000000,B49A36,SFMTA,PH,https://SFMTA.com/PH,7 am-10 pm daily,PH
POWELL-MASON CABLE CAR,5,000000,B49A36,SFMTA,PM,https://SFMTA.com/PM,7 am-10 pm daily,PM
ALIFORNIA STREET ABLE AR,5,000000,B49A36,SFMTA,C,https://SFMTA.com/C,7 am-8:30 pm daily,C
PARKMERCED,3,FFFFFF,005B95,SFMTA,18189,https://SFMTA.com/57,,57
RUTLAND,3,FFFFFF,005B95,SFMTA,18188,https://SFMTA.com/56,,56
EXCELSIOR,3,FFFFFF,005B95,SFMTA,18185,https://SFMTA.com/52,,52
DOGPATCH,3,FFFFFF,005B95,SFMTA,18187,https://SFMTA.com/55,,55
FELTON,3,FFFFFF,005B95,SFMTA,18186,https://SFMTA.com/54,,54
UNION-STOCKTON,3,FFFFFF,005B95,SFMTA,18181,https://SFMTA.com/45,,45
O'SHAUGHNESSY,3,FFFFFF,005B95,SFMTA,18180,https://SFMTA.com/44,,44
QUINTARA-24TH STREET,3,FFFFFF,005B95,SFMTA,18183,https://SFMTA.com/48,,48
THIRD BUS SHUTTLE,3,FFFFFF,BF2B45,SFMTA,TBUS,https://SFMTA.com/TBUS,Weekdays 5am-6am Weekends 5am-8am,TBUS
COIT,3,FFFFFF,005B95,SFMTA,39,https://SFMTA.com/39,9am-7pm daily,39
GEARY,3,FFFFFF,005B95,SFMTA,38,https://SFMTA.com/38,24 hour service daily,38
ASHBURY-18TH ST,3,FFFFFF,005B95,SFMTA,33,https://SFMTA.com/33,5am-10pm daily,33
BALBOA,3,FFFFFF,005B95,SFMTA,31,https://SFMTA.com/31,5am-10pm daily,31
STOCKTON,3,FFFFFF,005B95,SFMTA,30,https://SFMTA.com/30,Weedays 5am-12 midnight Weekends 6am-12 midnight,30
CORBETT,3,FFFFFF,005B95,SFMTA,37,https://SFMTA.com/37,Weekdays 6am-9pm Weekends 9am-9pm,37
TERESITA,3,FFFFFF,005B95,SFMTA,36,https://SFMTA.com/36,Weekdays 6am-10pm Weekends 8am-10pm,36
EUREKA,3,FFFFFF,005B95,SFMTA,35,https://SFMTA.com/35,7am-9pm daily,35
CALIFORNIA STREET CABLE CAR,5,000000,B49A36,SFMTA,18193,https://SFMTA.com/C,,C
VAN NESS-MISSION,3,FFFFFF,005B95,SFMTA,18608,https://SFMTA.com/49,,49
OCEAN VIEW,0,FFFFFF,008547,SFMTA,18218,https://SFMTA.com/M,,M
OWL TARAVAL,3,FFFFFF,666666,SFMTA,18215,https://SFMTA.com/L-OWL,,L-OWL
INGLESIDE-THIRD,0,FFFFFF,000000,SFMTA,18214,https://SFMTA.com/KT,,KT
QUINTARA,3,FFFFFF,005B95,SFMTA,18194,https://SFMTA.com/66,,66
BERNAL HEIGHTS,3,FFFFFF,005B95,SFMTA,18195,https://SFMTA.com/67,,67
POWELL-HYDE CABLE CAR,5,000000,B49A36,SFMTA,18192,https://SFMTA.com/PH,,PH
CHURCH,0,FFFFFF,A96614,SFMTA,18210,https://SFMTA.com/J,,J
LAKE MERCED,3,FFFFFF,005B95,SFMTA,18190,https://SFMTA.com/58,,58
POWELL-MASON CABLE CAR,5,000000,B49A36,SFMTA,18191,https://SFMTA.com/PM,,PM
QUINTARA,3,FFFFFF,005B95,SFMTA,66,https://SFMTA.com/66,Weekdays 6am-10pm Weekends 8am-10pm,66
BERNAL HEIGHTS,3,FFFFFF,005B95,SFMTA,67,https://SFMTA.com/67,Weekdays 5am-10pm Weekends 6am-10pm,67
SUTTER,3,FFFFFF,005B95,SFMTA,2,https://SFMTA.com/2,6:30am-7pm daily,2
HAIGHT-PARNASSUS,3,FFFFFF,005B95,SFMTA,6,https://SFMTA.com/6,5am-10pm daily,6
BALBOA,3,FFFFFF,005B95,SFMTA,18758,https://SFMTA.com/31,,31
SAN BRUNO RAPID,3,FFFFFF,BF2B45,SFMTA,9R,https://SFMTA.com/9R,Weekdays 7am-6pm,9R
MARKET & WHARVES,0,000000,B49A36,SFMTA,18208,https://SFMTA.com/F,,F
MARKET & WHARVES,0,000000,B49A36,SFMTA,F,https://SFMTA.com/F,7am-10pm daily,F
3RD-19TH AVE OWL,3,FFFFFF,666666,SFMTA,18204,https://SFMTA.com/91,,91
BART EARLY BIRD,3,FFFFFF,005B95,SFMTA,18205,https://SFMTA.com/714,,714
SAN BRUNO OWL,3,FFFFFF,666666,SFMTA,18203,https://SFMTA.com/90,,90
JUDAH,0,FFFFFF,005B95,SFMTA,N,https://SFMTA.com/N,Weekdays 6am-12 midnight Weekends 8am-12 midnight,N
3RD-19TH AVE OWL,3,FFFFFF,666666,SFMTA,91,https://SFMTA.com/91,12 midnight-5am daily,91
SAN BRUNO OWL,3,FFFFFF,666666,SFMTA,90,https://SFMTA.com/90,12 midnight-5am daily,90
INGLESIDE BUS,3,FFFFFF,437C93,SFMTA,KBUS,https://SFMTA.com/KBUS,Weekdays 5am-6am Weekends 5am-8am,KBUS
BAYVIEW HUNTERS POINT EXPRESS,3,FFFFFF,005B95,SFMTA,15,https://SFMTA.com/15,Weekdays 5am-10pm Weekends 8am-10pm,15
BAYSHORE B EXPRESS,3,FFFFFF,005B95,SFMTA,8BX,https://SFMTA.com/8BX,Weekdays 6:30-9am (northbound) 3:30-6:30pm (southbound),8BX
POLK,3,FFFFFF,005B95,SFMTA,19,https://SFMTA.com/19,5am-10pm daily,19
46TH AVENUE,3,FFFFFF,005B95,SFMTA,18,https://SFMTA.com/18,6am-10pm daily,18
INGLESIDE-THIRD,0,FFFFFF,000000,SFMTA,KT,https://SFMTA.com/KT,5am-12 midnight daily,KT
THIRD BUS SHUTTLE,3,FFFFFF,BF2B45,SFMTA,18230,https://SFMTA.com/TBUS,,TBUS
HAIGHT-PARNASSUS,3,FFFFFF,005B95,SFMTA,18138,https://SFMTA.com/6,,6
HAIGHT-NORIEGA,3,FFFFFF,005B95,SFMTA,18139,https://SFMTA.com/7,,7
SUTTER,3,FFFFFF,005B95,SFMTA,18134,https://SFMTA.com/2,,2
FULTON,3,FFFFFF,005B95,SFMTA,18136,https://SFMTA.com/5,,5
FULTON RAPID,3,FFFFFF,BF2B45,SFMTA,18137,https://SFMTA.com/5R,,5R
CALIFORNIA,3,FFFFFF,005B95,SFMTA,18131,https://SFMTA.com/1,,1
MISSION RAPID,3,FFFFFF,BF2B45,SFMTA,14R,https://SFMTA.com/14R,5am-10pm daily,14R
QUINTARA-24TH STREET,3,FFFFFF,005B95,SFMTA,48,https://SFMTA.com/48,5am-midnight daily (East of Castro St. 24 hours daily),48
VAN NESS-MISSION,3,FFFFFF,005B95,SFMTA,49,https://SFMTA.com/49,5am-12 midnight daily,49
O'SHAUGHNESSY,3,FFFFFF,005B95,SFMTA,44,https://SFMTA.com/44,5am-midnight daily (East of Glen Park BART 24 hours daily),44
UNION-STOCKTON,3,FFFFFF,005B95,SFMTA,45,https://SFMTA.com/45,5am-10pm daily,45
MASONIC,3,FFFFFF,005B95,SFMTA,43,https://SFMTA.com/43,5am-12 midnight daily,43
CALIFORNIA,3,FFFFFF,005B95,SFMTA,1,https://SFMTA.com/1,5am-12 midnight daily,1
FULTON,3,FFFFFF,005B95,SFMTA,5,https://SFMTA.com/5,5 or 5R: 5am-1am daily (West of Civic Center 24 hours daily),5
SAN BRUNO,3,FFFFFF,005B95,SFMTA,9,https://SFMTA.com/9,5am-12 midnight daily,9
CHURCH,0,FFFFFF,A96614,SFMTA,J,https://SFMTA.com/J,5am-12 midnight daily,J
OCEAN VIEW,0,FFFFFF,008547,SFMTA,M,https://SFMTA.com/M,Weekdays 6am-12 midnight Weekends 8am-12 midnight,M
MISSION RAPID,3,FFFFFF,BF2B45,SFMTA,18149,https://SFMTA.com/14R,,14R
MISSION,3,FFFFFF,005B95,SFMTA,18148,https://SFMTA.com/14,,14
BAYSHORE,3,FFFFFF,005B95,SFMTA,18141,https://SFMTA.com/8,,8
BAYSHORE B EXPRESS,3,FFFFFF,005B95,SFMTA,18143,https://SFMTA.com/8BX,,8BX
BAYSHORE A EXPRESS,3,FFFFFF,005B95,SFMTA,18142,https://SFMTA.com/8AX,,8AX
SAN BRUNO RAPID,3,FFFFFF,BF2B45,SFMTA,18145,https://SFMTA.com/9R,,9R
SAN BRUNO,3,FFFFFF,005B95,SFMTA,18144,https://SFMTA.com/9,,9
FOLSOM-PACIFIC,3,FFFFFF,005B95,SFMTA,18147,https://SFMTA.com/12,,12
